country;region;year;decile;share
Argentina;EPHC;2017;d3;4,4026251
Argentina;EPHC;2017;d4;5,4632011
Argentina;EPHC;2017;d4;5,5728399
Argentina;EPHC;2017;d5;6,8137456
Argentina;EPHC;2017;d5;6,8989554
Argentina;EPHC;2017;d6;8,3818332
Argentina;EPHC;2017;d6;8,4108422
Argentina;EPHC;2017;d7;10,230788
Argentina;EPHC;2017;d7;10,248119
Argentina;EPHC;2017;d8;12,784316
Argentina;EPHC;2017;d8;12,720193
Argentina;EPHC;2017;d9;17,072457
Argentina;EPHC;2017;d9;16,768852
Argentina;EPHC;2017;ratio_10_1;18,279014
Argentina;EPHC;2017;ratio_10_1;16,774072
Argentina;EPHC;2018;d1;1,7717301
Argentina;EPHC;2018;d1;1,7367365
Argentina;EPHC;2018;d10;30,629247
Argentina;EPHC;2018;d10;30,129547
Argentina;EPHC;2018;d2;3,1730513
Argentina;EPHC;2018;d2;3,1856949
Argentina;EPHC;2018;d3;4,3206539
Argentina;EPHC;2018;d3;4,3741172
Argentina;EPHC;2018;d4;5,5011249
Argentina;EPHC;2018;d4;5,5570272
Argentina;EPHC;2018;d5;6,7891724
Argentina;EPHC;2018;d5;6,863403
Argentina;EPHC;2018;d6;8,3109112
Argentina;EPHC;2018;d6;8,4413332
Argentina;EPHC;2018;d7;10,138748
Argentina;EPHC;2018;d7;10,2335
Argentina;EPHC;2018;d8;12,618964
Argentina;EPHC;2018;d8;12,75067
Argentina;EPHC;2018;d9;16,746398
Argentina;EPHC;2018;d9;16,727971
Argentina;EPHC;2018;ratio_10_1;17,284679
Argentina;EPHC;2018;ratio_10_1;17,3403
Argentina;EPHC;2019;d1;1,6710555
Argentina;EPHC;2019;d1;1,6446265
Argentina;EPHC;2019;d10;31,048869
Argentina;EPHC;2019;d10;31,330022
Argentina;EPHC;2019;d2;3,0658263
Argentina;EPHC;2019;d2;3,0079684
Argentina;EPHC;2019;d3;4,2138196
Argentina;EPHC;2019;d3;4,1523253
Argentina;EPHC;2019;d4;5,3741314
Argentina;EPHC;2019;d4;5,3178207
Argentina;EPHC;2019;d5;6,6838309
Argentina;EPHC;2019;d5;6,6557229
Argentina;EPHC;2019;d6;8,2182488
Argentina;EPHC;2019;d6;8,2239818
Argentina;EPHC;2019;d7;10,088476
Argentina;EPHC;2019;d7;10,083134
Argentina;EPHC;2019;d8;12,622659
Argentina;EPHC;2019;d8;12,688975
Argentina;EPHC;2019;d9;17,013084
Argentina;EPHC;2019;d9;16,895423
Argentina;EPHC;2019;ratio_10_1;18,568484
Argentina;EPHC;2019;ratio_10_1;19,039421
Argentina;EPHC;2020;d1;1,6732562
Argentina;EPHC;2020;d1;1,745507
Argentina;EPHC;2020;d10;31,147902
Argentina;EPHC;2020;d10;30,594463
Argentina;EPHC;2020;d2;3,016866
Argentina;EPHC;2020;d2;3,0404444
Argentina;EPHC;2020;d3;4,151685
Argentina;EPHC;2020;d3;4,1604383
Argentina;EPHC;2020;d4;5,3422231
Argentina;EPHC;2020;d4;5,2961571
Argentina;EPHC;2020;d5;6,5776733
Argentina;EPHC;2020;d5;6,6891996
Argentina;EPHC;2020;d6;8,1336656
Argentina;EPHC;2020;d6;8,2782179
Argentina;EPHC;2020;d7;10,114341
Argentina;EPHC;2020;d7;10,30318
Argentina;EPHC;2020;d8;12,753936
Argentina;EPHC;2020;d8;12,833606
Argentina;EPHC;2020;d9;17,088452
Argentina;EPHC;2020;d9;17,058787
Argentina;EPHC;2020;ratio_10_1;18,610243
Argentina;EPHC;2020;ratio_10_1;17,522172
Argentina;EPHC;2021;d1;1,8153901
Argentina;EPHC;2021;d1;1,8132329
Argentina;EPHC;2021;d10;30,458732
Argentina;EPHC;2021;d10;31,233105
Argentina;EPHC;2021;d2;3,1802899
Argentina;EPHC;2021;d2;3,2338904
Argentina;EPHC;2021;d3;4,2349979
Argentina;EPHC;2021;d3;4,3223021
Argentina;EPHC;2021;d4;5,4812537
Argentina;EPHC;2021;d4;5,453703
Argentina;EPHC;2021;d5;6,815375
Argentina;EPHC;2021;d5;6,6746148
Argentina;EPHC;2021;d6;8,2610762
Argentina;EPHC;2021;d6;8,2047409
Argentina;EPHC;2021;d7;10,192283
Argentina;EPHC;2021;d7;10,042382
Argentina;EPHC;2021;d8;12,732412
Argentina;EPHC;2021;d8;12,481528
Argentina;EPHC;2021;d9;16,828191
Argentina;EPHC;2021;d9;16,540501
Argentina;EPHC;2021;ratio_10_1;16,764939
Argentina;EPHC;2021;ratio_10_1;17,222183
Argentina;EPHC;2022;d1;1,9926337
