country;region;year;indicator;value
Argentina;28 main cities;2010;headcount_national_USD6.85;11,836067
Argentina;28 main cities;2010;headcount_national_USD6.85;11,352111
Argentina;28 main cities;2010;headcount_urban_USD2.15;0,96846652
Argentina;28 main cities;2010;headcount_urban_USD2.15;0,74654093
Argentina;28 main cities;2010;headcount_urban_USD3.65;3,5789394
Argentina;28 main cities;2010;headcount_urban_USD3.65;3,1499162
Argentina;28 main cities;2010;headcount_urban_USD6.85;11,836067
Argentina;28 main cities;2010;headcount_urban_USD6.85;11,352111
Argentina;28 main cities;2011;headcount_national_USD2.15;0,87785676
Argentina;28 main cities;2011;headcount_national_USD2.15;0,71137696
Argentina;28 main cities;2011;headcount_national_USD3.65;2,6874298
Argentina;28 main cities;2011;headcount_national_USD3.65;2,1082214
Argentina;28 main cities;2011;headcount_national_USD6.85;9,7405917
Argentina;28 main cities;2011;headcount_national_USD6.85;9,1136232
Argentina;28 main cities;2011;headcount_urban_USD2.15;0,87785676
Argentina;28 main cities;2011;headcount_urban_USD2.15;0,71137696
Argentina;28 main cities;2011;headcount_urban_USD3.65;2,6874298
Argentina;28 main cities;2011;headcount_urban_USD3.65;2,1082214
Argentina;28 main cities;2011;headcount_urban_USD6.85;9,7405917
Argentina;28 main cities;2011;headcount_urban_USD6.85;9,1136232
Argentina;28 main cities;2012;headcount_national_USD2.15;0,80520142
Argentina;28 main cities;2012;headcount_national_USD2.15;0,64704663
Argentina;28 main cities;2012;headcount_national_USD3.65;2,1074441
Argentina;28 main cities;2012;headcount_national_USD3.65;2,3346909
Argentina;28 main cities;2012;headcount_national_USD6.85;9,2600274
Argentina;28 main cities;2012;headcount_national_USD6.85;8,5737448
Argentina;28 main cities;2012;headcount_urban_USD2.15;0,80520142
Argentina;28 main cities;2012;headcount_urban_USD2.15;0,64704663
Argentina;28 main cities;2012;headcount_urban_USD3.65;2,1074441
Argentina;28 main cities;2012;headcount_urban_USD3.65;2,3346909
Argentina;28 main cities;2012;headcount_urban_USD6.85;9,2600274
Argentina;28 main cities;2012;headcount_urban_USD6.85;8,5737448
Argentina;28 main cities;2013;headcount_national_USD2.15;0,57604997
Argentina;28 main cities;2013;headcount_national_USD2.15;0,66667513
Argentina;28 main cities;2013;headcount_national_USD3.65;1,7986918
